"Countryname","Countrycode","YEAR","GDPP","GDPPG","PPP","POPG","g_cal","ERP","ERS","ERT","LEXT","GEHT","RP","RG","AF","CTP","INV","INF","EXG","DEV","ICTT","ICTM","ICTI","ICTE","CPT","g","logit_g","logCPT","logINV","logINF","logEXG","logPPP","logg","devICTI","numDEV"
"Brunei Darussalam","BN",2002,16850.1511253805,1.85085909906365,70716.7593718754,1.96507278346463,-0.0370948302876983,107.71335,86.54186,13.91759,73.332,5.11400252580643,NA,NA,147,NA,NA,-2.3149724245932,5.77151810093288,"1",23.4383560853793,44.31,0.79502396318148,15.329879855735,NA,0.445,1,NA,NA,NA,1.75293514832935,11.1664378729001,-0.809680996815897,0.79502396318148,1
"Brunei Darussalam","BN",2003,18560.6085730701,1.00749091564913,72755.7329960629,1.86014005337054,-0.0533989025633355,110.65327,88.37415,14.00622,73.575,6.98940828442574,NA,NA,120,NA,NA,0.299999999999977,2.26368893112472,"1",23.1889677972674,50.2,1.08635042301999,19.5950032207342,NA,1.314,1,NA,NA,-1.20397280432601,0.816995752987869,11.1948629859985,0.273075920062419,1.08635042301999,1
"Brunei Darussalam","BN",2004,21902.0880525832,-1.21254278698211,73808.5267240512,1.72300488548952,-0.0737230337213231,111.04673,92.80322,14.68594,73.801,6.39551505446434,NA,NA,80,NA,NA,0.814223994682602,-0.714021622738727,"1",23.1197469347556,56.33,1.74218839116052,29.7156041447864,NA,-2.318,0,NA,NA,-0.205519773091293,NA,11.2092295421808,NA,1.74218839116052,1
"Brunei Darussalam","BN",2005,26105.2790303114,-1.17447460689952,75213.7551073169,1.56818437513516,-0.0898549456581338,110.6297,96.58753,14.56069,74.006,6.43293336033821,NA,NA,86,NA,NA,1.24443711883964,-1.26014499534412,"1",22.9763854576927,63.79,2.22560624900716,36.4663919475782,NA,0.724,1,NA,NA,0.218683314300785,NA,11.2280894068724,-0.322963886596421,2.22560624900716,1
"Brunei Darussalam","BN",2006,30979.8791725798,2.94593038553322,79772.6751026909,1.40039303575869,-0.10699720137309,110.30373,97.44118,14.50456,74.189,5.81376068294048,NA,NA,77,NA,NA,0.159888078345143,3.67008559994453,"1",21.6537974358767,81.4,2.42098184263618,42.1863491609307,NA,2.693,1,NA,NA,-1.83328121886268,1.30021498603004,11.2869363075402,0.990655813829462,2.42098184263618,1
"Brunei Darussalam","BN",2007,32663.5665921613,-1.10134032413342,81013.4221694966,1.26191243385252,-0.0988869541408034,109.68696,95.79461,15.01222,74.351,5.77389597892761,NA,NA,45,NA,NA,0.967774119525083,-9.63738961194007,"1",21.2163801954849,97.65,3.09815582787727,44.68,NA,-1.368,0,NA,NA,-0.0327565665334017,NA,11.3023701257231,NA,3.09815582787727,1
"Brunei Darussalam","BN",2008,37934.3765067984,-3.09135524702164,80036.11316109,1.18137182413831,-0.0638242460836413,107.62241,96.01591,15.73895,74.494,6.20709471404552,NA,NA,11,"90366",NA,2.08498023715416,-6.21604320900069,"1",21.2919158401881,105.12,4.45178311163589,46,90366,-3.286,0,11.4116233694399,NA,0.734759376622706,NA,11.2902332263128,NA,4.45178311163589,1
"Brunei Darussalam","BN",2009,27955.7138629359,-2.91217600044139,78297.7071841171,1.17513244320557,-0.00528147091817677,106.92304,98.20404,16.76596,74.623,6.21688663959503,NA,NA,556,"85577",NA,1.03571774271615,-5.27172099568838,"1",20.9814381645507,107.55,5.21716253457878,49,85577,-3.136,0,11.357171834437,NA,0.035094657600603,NA,11.2682735990995,NA,5.21716253457878,1
"Brunei Darussalam","BN",2010,35269.5531076448,1.34764938748842,80277.5456893459,1.22711726320388,0.0442374136625008,106.54217,99.17564,15.45914,74.74,5.77683486044407,NA,NA,118,"93230",NA,0.356869132017602,-7.79747645081393,"1",20.558811875074,111.95,5.58322998306943,53,93230,0.873,1,11.4428248372907,NA,-1.03038614138977,NA,11.2932452305614,-0.135819723142535,5.58322998306943,1
"Brunei Darussalam","BN",2011,47055.8411171808,2.4166421030224,83935.012512764,1.28898138374766,0.0504141881129265,106.81652,101.43055,17.40432,74.852,5.74302449822426,NA,NA,121,"105018",NA,0.137911563169595,-3.00023811413602,"1",20.279764686757,112.57,5.88918128060799,56,105018,2.011,1,11.5618870430189,NA,-1.98114264585202,NA,11.3377981178333,0.698632110790515,5.88918128060799,1
"Brunei Darussalam","BN",2012,47740.5149015856,-0.427894473886155,88247.7277373394,1.33751301633227,0.0376511508983211,105.93439,106.26483,22.42971,74.962,5.44353500008583,NA,NA,72,"109219",NA,0.111766261400274,1.21103019392848,"1",17.7781843609724,117.73,4.97482386732466,60.2730650423193,109219,-0.435,0,11.601110319832,NA,-2.19134554018875,0.191471397314203,11.3879032264452,NA,4.97482386732466,1
"Brunei Darussalam","BN",2013,44740.085018517,-3.44062744548282,83787.0606229269,1.35225669939187,0.0110232071610266,106.11103,104.91331,24.3401,75.075,5.12074194848537,NA,NA,70,"121813",NA,0.389205053123613,-5.67547902013096,"1",NA,115.92,6.81393893986712,64.5,121813,-3.241,0,11.7102423609106,NA,-0.943648945394825,NA,11.3360338667071,NA,6.81393893986712,1
"Brunei Darussalam","BN",2014,41726.7839720342,-3.78074098227714,81373.0180738336,1.31371717050944,-0.0285001574773207,105.49321,99.59155,32.02042,75.193,5.20392693579197,NA,NA,41,"128026",NA,-0.207108731719878,0.857118368046628,"1",17.4839970812824,110.32,7.38440438393339,68.77,128026,-3.536,0,11.7599886472747,NA,NA,-0.154179250847673,11.3067990237468,NA,7.38440438393339,1
"Brunei Darussalam","BN",2015,31164.5620291141,-1.62587420667052,62541.680359491,1.24608124452682,-0.0514843891066689,105.52755,96.41472,31.30059,75.318,5.86489252746105,NA,NA,40,"128026",NA,-0.488347420743486,-10.801393728223,"1",18.3178399014719,111.68,8.29704005957962,71.2,128026,-1.564,0,11.7599886472747,NA,NA,NA,11.0435884992069,NA,8.29704005957962,1
"Brunei Darussalam","BN",2016,27157.8234104784,-3.61459150730586,56296.0197678199,1.17240086547234,-0.0591296750337166,107.12282,94.05418,31.92415,75.45,6.15330003201962,NA,NA,63,"124919",NA,-0.278693265753062,-1.89505907012195,"1",17.6781800857551,124.69,8.60409718913768,90,124919,-3.6,0,11.7354208062417,NA,NA,NA,10.9383791147871,NA,8.60409718913768,1
"Brunei Darussalam","BN",2017,28572.1467776509,0.213081517950215,60995.6811141379,1.10699921017513,-0.055784379919287,104.85771,92.93732,33.56496,75.585,6.15330003201962,NA,NA,83,"132664",NA,-1.26050564628963,-2.70513684510583,"1",19.7407137792039,128.33,9.67599823781489,94.8666916411293,132664,-1.561,0,11.7955748948939,NA,NA,NA,11.0185583392413,NA,9.67599823781489,1
"Brunei Darussalam","BN",2018,31628.3287914349,-0.99478850862225,61813.8951635958,1.05199374278845,-0.0496888045457394,103.15162,93.48278,31.39258,75.722,NA,NA,NA,73,"138676",NA,1.02505179290213,2.84683979182168,"1",19.2529425614797,131.93,11.5282670067115,NA,138676,-2.864,0,11.8398955560025,NA,0.0247431409744059,1.04620953408229,11.0318834590078,NA,11.5282670067115,1
"Canada","CA",1990,21448.3619600057,-1.33414391669093,20150.787992707,1.50766067284807,-0.15970007676914,104.28178,99.80231,90.52835,77.4219512195122,NA,NA,NA,96,NA,85.6666,4.78047693336305,4.54570510838428,"1",NA,NA,NA,NA,NA,-1.349,0,NA,4.45046301801669,1.56454031838018,1.51418285495505,9.91099867294801,NA,NA,1
"Canada","CA",1991,21768.3432941828,-3.29539168761571,20145.9254666282,1.24276123131684,-0.175702295816218,104.44184,101.40826,95.54934,77.6219512195122,NA,NA,NA,64,NA,81.2432,5.62586408593004,1.62219730830286,"1",NA,NA,NA,NA,NA,-3.327,0,NA,4.39744712539976,1.72737455156932,0.48378159336464,9.91075733683472,NA,NA,1
"Canada","CA",1992,20879.8483300891,-0.287031425356361,20550.63353963,1.18367554138942,-0.0475438792573311,103.67415,102.71387,97.61021,77.7243902439024,NA,NA,NA,67,NA,79.5665,1.49013290374545,7.43421573458016,"1",NA,NA,NA,NA,NA,-0.3,0,NA,4.37659314999497,0.398865313124136,2.00609309144056,9.93064704862825,NA,NA,1
"Canada","CA",1993,20121.1612532855,1.5388609928205,21363.6334802633,1.09893087887878,-0.0715945033477376,102.6971,104.60627,88.22052,77.8243902439025,NA,NA,NA,93,NA,88.8188,1.86507936507936,10.7952457540761,"1",NA,NA,NA,NA,NA,1.488,1,NA,4.48659833930207,0.623303607192678,2.37910582925429,9.96944538536152,0.3974329364109,NA,1
"Canada","CA",1994,19935.3814579208,3.35622681273703,22555.342375438,1.09525810706129,-0.0033421317828809,101.90004,105.76639,90.09745,77.8268292682927,NA,NA,NA,116,NA,97.8832,0.165562913907281,12.8155112461603,"1",NA,NA,NA,NA,NA,3.381,1,NA,4.58377493113365,-1.79840401194675,2.55065625337535,10.0237272293078,1.21817152372575,NA,1
"Canada","CA",1995,20613.7878829216,1.63680939292374,23403.4815153098,1.03476948386834,-0.0552277338126702,101.81008,105.15247,90.5424,78.0292682926829,NA,54,NA,152,NA,103.553,2.14876033057852,8.86624934616398,"1",NA,NA,NA,NA,NA,1.631,1,NA,4.64008355893327,0.76489108541879,2.18225185978979,10.0606400729843,0.489193323638877,NA,1
"Canada","CA",1996,21227.3475315896,0.562467832829711,23963.9676031324,1.04531178311831,0.0101880654718955,102.81308,105.47692,89.21377,78.1804878048781,NA,67,NA,177,NA,123.856,1.57053112507137,5.72342488021687,"1",NA,NA,NA,NA,NA,0.565,1,NA,4.81911960046236,0.451413858374754,1.74456738149195,10.0843066313056,-0.570929547835696,NA,1
"Canada","CA",1997,21829.2334443229,3.24884935715272,25167.3101503635,0.993788591465188,-0.0492897836657128,NA,NA,NA,78.4317073170732,NA,63,NA,200,NA,144.217,1.62121638084528,8.59619186652323,"1",NA,NA,NA,NA,NA,3.241,1,NA,4.97131910971908,0.483176719869304,2.15131929897361,10.1333012151307,1.17588192415941,NA,1
"Canada","CA",1998,20952.0694643937,1.94695462243857,26220.4431575046,0.829909353323744,-0.164903521280949,99.82164,105.60397,59.50188,78.6341463414634,NA,43,NA,180,NA,160.943,0.995942456658074,9.51698844628707,"1",NA,NA,NA,NA,NA,3.012,1,NA,5.08105026503139,-0.00406579750623077,2.2530784590816,10.1742946586815,1.10260430993765,NA,1
"Canada","CA",1999,22238.6645356943,3.12879169140933,27745.8065524148,0.812842623716166,-0.0205645707440537,100.25747,102.37614,60.25187,78.8853658536585,NA,75,NA,187,NA,187.388,1.73484295105918,10.8285680584491,"1",NA,NA,NA,NA,NA,4.321,1,NA,5.2331813336025,0.5509168911803,2.38218783236795,10.2308399925272,1.4634868569498,NA,1
"Canada","CA",2000,24190.2496150045,3.94521853998886,29265.7281278482,0.931281553452429,0.145709546080128,100.78877,101.92313,59.11446,79.1365853658537,14.8156270384789,78,NA,188,"2927942",150.549,2.71943995691972,9.02570617862877,"1",68.1304402393549,28.53,4.61264003396322,51.3,2927942,4.216,1,14.889810345124,5.01428861259416,1.00042596091668,2.20007674809729,10.2841724219163,1.43888681123906,4.61264003396322,1
"Canada","CA",2001,23738.180723841,0.309869788043613,30107.8788411777,1.08635096562717,0.166511847679008,NA,NA,NA,79.3390243902439,15.2764797210693,70,NA,166,"2890388",92.6903,2.52512013979907,-2.90045674270588,"1",68.4130507074902,34.49,9.18391611315168,60.2,2890388,0.725,1,14.8769013071324,4.52926382847761,0.926288641713869,NA,10.3125421720058,-0.321583624127462,9.18391611315168,1
